attack_cat,n,pred_attack_rate
Analysis,574,0.925087
Backdoor,524,0.986641
DoS,3618,0.98618
Exploits,10163,0.983174
Fuzzers,5441,0.819702
Generic,12054,0.998839
Normal,16800,0.082619
Reconnaissance,3056,0.993455
Shellcode,343,0.93586
Worms,30,1.0
